OBJECTID,Shape_Length,Shape_Area,F_AREA,longitude,latitude
1,103735.555828060520000,669322448.864647030000000,669322448.864647030000000,-86.754802594648012,29.872485860050581
2,105561.531625014340000,695403270.980162140000000,695403270.980162020000000,-82.254802594677116,25.622485860077340
3,103285.140181978090000,664576645.548160310000000,664576645.548159960000000,-85.754807799541865,29.124267249260370
4,105256.230707315450000,691073638.580119490000000,691073638.580119010000000,-83.004802594324161,26.372485860099331
5,105358.783060435700000,692529957.222475890000000,692529957.222476010000000,-83.754802594459719,26.122485859935516
6,104406.998322595350000,678954125.674708600000000,678954125.674708960000000,-93.754802594337107,28.372485860150874
7,104943.812212848760000,686626283.202605250000000,686626283.202605010000000,-83.254802594450425,27.122485859725465
8,105209.887978213750000,690768956.627673750000000,690768956.627673980000000,-97.004889769079838,26.122824892798818
9,105256.230649818620000,691073637.756751300000000,691073637.756750940000000,-83.754802594629751,26.372485860057271
10,104624.166852351020000,682061831.842619060000000,682061831.842618940000000,-84.004802594464337,27.872485859999983
11,103735.555793500040000,669322448.375913380000000,669322448.375913020000000,-86.254802594607767,29.872485860029631
12,104297.179488005670000,677380925.318533540000000,677380925.318534020000000,-93.504802594449700,28.622485860052862
13,99087.112530540224000,620492551.371154190000000,620492551.371153950000000,-81.267772090544355,25.370179559078192
14,104297.179559080790000,677380926.214020130000000,677380926.214020010000000,-94.504802594364037,28.622485859931285
15,104406.998324065770000,678954125.727298500000000,678954125.727298970000000,-91.754802594686367,28.372485860188736
16,103860.505463720520000,672524304.410616870000000,672524304.410616990000000,-93.504776513043979,28.123967963125562
17,105661.734983576030000,696820214.574485300000000,696820214.574484940000000,-83.254802594583467,25.372485859873400
18,103735.555735300660000,669322447.577614550000000,669322447.577615020000000,-86.004802594486634,29.872485860115347
19,104731.525208770250000,683596286.049580100000000,683596286.049579980000000,-83.254802594829954,27.622485860082968
20,103699.418739085640000,671112588.139003990000000,671112588.139003990000000,-81.259196085598489,25.118816673622746
21,103962.730002117400000,672584232.882179980000000,672584232.882179980000000,-93.504802594855519,29.372485860098397
22,81009.722376044781000,359822593.212236640000000,359822593.212237000000000,-81.065513249549014,24.872461484530252
23,104406.998341735100000,678954125.964918380000000,678954125.964918020000000,-91.504802594704159,28.372485860268320
24,105661.735198598400000,696820217.416934250000000,696820217.416934010000000,-81.504802594440150,25.372485860088720
25,103735.555567759470000,669322445.303123000000000,669322445.303123000000000,-88.254802594687789,29.872485860146668
26,105859.819286125640000,699614574.839960810000000,699614574.839961050000000,-82.504802594649917,24.872485859981246
27,72236.676517135114000,221062107.248504880000000,221062107.248505000000000,-97.172083319866118,26.389745105916692
28,104297.179532132740000,677380925.835994480000000,677380925.835994010000000,-91.004802594391350,28.622485860291114
29,80823.598576875971000,352076582.844408690000000,352076582.844408990000000,-88.064368870469949,29.372608936393949
30,104186.531561844550000,675794859.309964180000000,675794859.309963940000000,-84.754802594719663,28.872485860092723
