OBJECTID,Shape_Length,Shape_Area
1,134548.735585419290000,747489527.002138260000000
2,211721.781378328160000,2751158886.444051700000000
3,211826.370265100500000,2801456408.856901600000000
4,211826.370297787910000,2801456409.681240100000000
5,211826.441374840710000,2801462549.302057700000000
6,211826.370398284020000,2801456412.347233800000000
7,137556.648187852780000,767631074.000116940000000
8,211431.885749846140000,2790336677.280500400000000
9,211431.885717916620000,2790336677.597622900000000
10,211431.885769797050000,2790336681.168311600000000
11,211431.921226809730000,2791025565.257355700000000
12,211431.885733114260000,2790336678.254375900000000
13,137682.938169883680000,767501824.481417660000000
14,211031.213031614490000,2779006034.075071300000000
15,211031.213111587600000,2779006036.300565200000000
16,211031.213074909260000,2779006035.163030600000000
17,211031.213200695140000,2779006038.549025500000000
18,204172.711306207000000,2170451918.976722700000000
19,175019.083537426170000,1736823423.061594500000000
20,180011.672873134060000,1954274921.174705300000000
21,137802.884716985110000,767301897.287586210000000
22,210624.293012539480000,2767465198.161586300000000
23,210624.293159002930000,2767465195.841691000000000
24,210624.293097479360000,2767465199.160109000000000
25,206377.351248878350000,2594659046.661072300000000
26,95720.320965002946000,215800672.304181520000000
27,199685.276131052410000,2515558624.366625300000000
28,182676.418402949000000,1998292805.433924400000000
29,137916.349300244440000,767032256.089787960000000
30,210211.063687559280000,2755714872.754990600000000
31,210211.063549213110000,2755714868.899064100000000
32,207518.834731838780000,2744222929.933732500000000
33,122428.387702737610000,510143164.446081700000000
34,247994.946695717430000,2619903793.908156900000000
35,182536.732604937480000,1993737226.986521200000000
36,134379.417847050640000,728520559.270908470000000
37,209870.210084024000000,2688491421.014189700000000
38,209791.461050864130000,2743755792.031015900000000
39,209791.460895767410000,2743755793.493723900000000
40,181971.049707979980000,1758903999.977595600000000
41,167374.976636930080000,1388894430.480171700000000
42,209356.579750636680000,2712438488.696576100000000
43,206393.955131538500000,2658014620.998466500000000
44,179285.436566156950000,1930636581.943759400000000
45,134245.682699689640000,726747976.830645920000000
46,209319.041522298180000,2674019129.521858200000000
47,209365.419852586490000,2731588723.037280100000000
