FID,OBJECTID,ORIG_FID,POINT_X,POINT_Y
0,1,1,-83.931503747700006,24.742633356900001
1,2,2,-83.611664011599999,24.740631487400002
2,3,3,-83.113000000100001,24.736179443200001
3,4,4,-82.613000000000000,24.736179442600001
4,5,5,-82.112999823400003,24.736055944000000
5,6,6,-81.612999999300001,24.736179442600001
6,7,7,-83.931775498400000,25.236052072900002
7,8,8,-83.612999999799996,25.236172348400000
8,9,9,-83.113000000200003,25.236172348499998
9,10,10,-82.613000000000000,25.236172348800000
10,11,11,-82.112990828500003,25.236110680900001
11,12,12,-81.612999999600007,25.236172348899998
12,13,13,-83.932044283300002,25.736047015400001
13,14,14,-83.612999999799996,25.736165228800001
14,15,15,-83.112999999799996,25.736165229200001
15,16,16,-82.613000000200003,25.736165229200001
16,17,17,-82.113000000300005,25.736165229499999
17,18,18,-81.639191227799998,25.688346979799999
18,19,19,-97.024963440199997,26.253786950500000
19,20,20,-96.681675715899999,26.242702737500000
20,21,21,-83.932314149500002,26.236042435100000
21,22,22,-83.613000000300005,26.236158082100001
22,23,23,-83.113000000200003,26.236158082399999
23,24,24,-82.612999999600007,26.236158082300001
24,25,25,-82.120298510799998,26.221445141299998
25,26,26,-81.825044585900002,26.070383192800001
26,27,27,-97.092777520799999,26.748057596100001
27,28,28,-96.681714021900007,26.735977982700000
28,29,29,-83.932585240999998,26.736037192000001
29,30,30,-83.612999999699994,26.736150907599999
30,31,31,-83.112999999899998,26.736150907799999
31,32,32,-82.613976949000005,26.735176418000002
32,33,33,-82.299914309100004,26.650508858100000
33,34,34,-97.102618521099998,27.228363665300002
34,35,35,-96.681339449099994,27.236202265300001
35,36,36,-84.431249495900005,27.242306862500001
36,37,37,-84.111568365899998,27.241133509499999
37,38,38,-83.613000000200003,27.236143702000000
38,39,39,-83.113000000100001,27.236143701700001
39,40,40,-82.690167804400005,27.196087582899999
40,41,41,-97.008192383600004,27.681831263500001
41,42,42,-96.614322933799997,27.737852163500001
42,43,43,-96.113019266400002,27.742863767500001
43,44,44,-95.681351046200007,27.742662238000001
44,45,45,-84.931531662300003,27.743655276100000
45,46,46,-84.611500546900004,27.741357168400000
46,47,47,-84.113000000400007,27.736136465000001
47,48,48,-83.612999999699994,27.736136464800001
48,49,49,-83.112999999400003,27.736136464400001
49,50,50,-82.809051487100007,27.664568410899999
50,51,51,-96.886579153800000,28.007597139200001
51,52,52,-96.558210968799997,28.123297697300000
52,53,53,-96.108353607300003,28.231060030999998
53,54,54,-95.614398185599995,28.237948453000001
54,55,55,-95.113059092800000,28.243154265499999
55,56,56,-94.613021317499999,28.243407098999999
56,57,57,-94.113010568099995,28.243502956800000
57,58,58,-93.612948291799995,28.243343779500002
58,59,59,-93.112956542099994,28.243016423400000
59,60,60,-92.613000713999995,28.243054235700001
60,61,61,-92.113000562300002,28.242941986000002
61,62,62,-91.613000714699993,28.243062540800000
62,63,63,-91.113000590100000,28.242950879500000
63,64,64,-90.613000714999998,28.243070845900000
64,65,65,-90.180805510699997,28.243052667899999
65,66,66,-84.931820367499995,28.235729742299998
66,67,67,-84.612999999699994,28.236129194099998
67,68,68,-84.113000000200003,28.236129193600000
68,69,69,-83.612999999799996,28.236129193600000
69,70,70,-83.113000000100001,28.236129193600000
70,71,71,-82.799273041999996,28.316355059100001
71,72,72,-95.989447242200001,28.538923387800001
72,73,73,-95.574978961200003,28.635386486700000
73,74,74,-95.107676092299997,28.730396364499999
74,75,75,-94.612999999899998,28.736121886599999
75,76,76,-94.112999865999996,28.736006703499999
76,77,77,-93.612999999699994,28.736121886999999
77,78,78,-93.112999827699994,28.736007110700001
78,79,79,-92.612999999899998,28.736121886999999
79,80,80,-92.112999848800001,28.736006490800001
80,81,81,-91.613000000499994,28.736121886700001
81,82,82,-91.112999858799995,28.736007681499999
82,83,83,-90.613000000100001,28.736121887300001
83,84,84,-90.114206655299995,28.737610251800000
84,85,85,-89.614992759499998,28.740952078700001
85,86,86,-89.179705128199998,28.743377695400000
86,87,87,-85.431178731100005,28.742479459199998
87,88,88,-85.111502140900001,28.741323350100000
88,89,89,-84.613000000000000,28.736121887300001
89,90,90,-84.113000000000000,28.736121886999999
90,91,91,-83.613000000499994,28.736121886799999
91,92,92,-83.112999999600007,28.736121886700001
92,93,93,-82.785300571199997,28.704743126200000
93,94,94,-94.991471106999995,29.075677250599998
94,95,95,-94.587474049299999,29.209655574300001
95,96,96,-94.112999865700004,29.236000511600000
96,97,97,-93.612999999699994,29.236114542799999
97,98,98,-93.112999827799996,29.236000354100000
98,99,99,-92.613000000599996,29.236114542599999
99,100,100,-92.112999848100003,29.236000038299998
100,101,101,-91.623443973400001,29.212445107800001
101,102,102,-91.164451073999999,29.101534985499999
102,103,103,-90.597597609600001,29.020276861500001
103,104,104,-89.979566745699998,29.117752982900001
104,105,105,-89.647963894900002,29.122333160099998
105,106,106,-88.966948815300000,29.242998445200001
106,107,107,-88.613047425700003,29.243245266900001
107,108,108,-88.181192778400003,29.243513764999999
108,109,109,-85.930925908600003,29.243526649500001
109,110,110,-85.611468698400003,29.241504477599999
110,111,111,-85.112999902300004,29.236000756399999
111,112,112,-84.613000000499994,29.236114543199999
112,113,113,-84.113000000300005,29.236114542900001
113,114,114,-83.613000000100001,29.236114542300001
114,115,115,-83.261302935600000,29.206122718400000
115,116,116,-82.837209888199993,29.027307040200000
116,117,117,-94.425201336399994,29.509517567600000
117,118,118,-94.079302255299993,29.566145506000002
118,119,119,-93.601644523299996,29.614250501899999
119,120,120,-93.130613059900000,29.613975034399999
120,121,121,-92.662573289099996,29.541136287499999
121,122,122,-92.112077238400005,29.531046074900001
122,123,123,-91.858318947499995,29.490379143100000
123,124,124,-88.947974200299996,29.568552685499998
124,125,125,-88.604806497300004,29.730667074300001
125,126,126,-88.114486560499998,29.737965726100001
126,127,127,-87.612972689200006,29.743382894600000
127,128,128,-87.112972589699993,29.743207229700001
128,129,129,-86.612952938700005,29.743085216899999
129,130,130,-86.111619655900000,29.740834706000001
130,131,131,-85.624748745000005,29.728655105000001
131,132,132,-85.134228978500005,29.567499133399998
132,133,133,-84.575194958799997,29.651779419499999
133,134,134,-84.110448008000006,29.733859119900000
134,135,135,-83.676078577400006,29.681968433400002
135,136,136,-83.354582410099994,29.488983548800000
136,137,137,-88.879537042300001,30.157942999100001
137,138,138,-88.619956505800005,30.106869611899999
138,139,139,-88.112903306199996,30.109703776800000
139,140,140,-87.600040630300001,30.125180042600000
140,141,141,-87.104486504700006,30.162489187500000
141,142,142,-86.613812136299998,30.186690081999998
142,143,143,-86.134137129400003,30.149359681699998
143,144,144,-85.741816949099999,30.061394598200000
144,145,145,-84.106287421600001,30.031590552800001
145,146,146,-83.852077286899998,29.993580350500000
