"cell_id","decslat_cell_ctr","decslon_cell_ctr","year","taxa_grp","pop_mean_no_m3","pop_var_no_m3","n_obs"
2,24.7406314874,-83.6116640116,2012,"Aurelia_spp",0,0,3
2,24.7406314874,-83.6116640116,2013,"Aurelia_spp",0,0,3
2,24.7406314874,-83.6116640116,2014,"Aurelia_spp",69.1705473008552,1796.4725895786,5
2,24.7406314874,-83.6116640116,2015,"Aurelia_spp",0,0,5
2,24.7406314874,-83.6116640116,2016,"Aurelia_spp",17.0590652713759,291.011707933064,4
2,24.7406314874,-83.6116640116,2017,"Aurelia_spp",0,0,4
3,24.7361794432,-83.1130000001,2012,"Aurelia_spp",0,0,6
3,24.7361794432,-83.1130000001,2013,"Aurelia_spp",56.5910507584422,3202.54702594458,5
3,24.7361794432,-83.1130000001,2014,"Aurelia_spp",10.1417653688964,45.3287869977968,9
3,24.7361794432,-83.1130000001,2015,"Aurelia_spp",9.70686976988719,94.2233207295497,7
3,24.7361794432,-83.1130000001,2016,"Aurelia_spp",0,0,3
3,24.7361794432,-83.1130000001,2017,"Aurelia_spp",81.5832070190982,6655.81966752103,6
4,24.7361794426,-82.613,2012,"Aurelia_spp",0,0,1
4,24.7361794426,-82.613,2013,"Aurelia_spp",17.6650755003461,312.054892432928,2
4,24.7361794426,-82.613,2014,"Aurelia_spp",0,0,4
4,24.7361794426,-82.613,2015,"Aurelia_spp",290.846635575449,45440.34478925,2
4,24.7361794426,-82.613,2016,"Aurelia_spp",6.3860002851508,40.7809996419461,5
4,24.7361794426,-82.613,2017,"Aurelia_spp",83.7720753988767,5584.58251843039,7
5,24.736055944,-82.1129998234,2012,"Aurelia_spp",0,0,1
5,24.736055944,-82.1129998234,2013,"Aurelia_spp",24.0245026804707,577.176729043945,3
5,24.736055944,-82.1129998234,2014,"Aurelia_spp",55.2475244638736,658.872934405393,6
5,24.736055944,-82.1129998234,2015,"Aurelia_spp",137.840584129201,19000.0266330792,5
5,24.736055944,-82.1129998234,2016,"Aurelia_spp",0.205087218004018,0.0420607669886277,4
5,24.736055944,-82.1129998234,2017,"Aurelia_spp",0,0,1
6,24.7361794426,-81.6129999993,2015,"Aurelia_spp",0,0,1
8,25.2361723484,-83.6129999998,2012,"Aurelia_spp",0,0,6
8,25.2361723484,-83.6129999998,2013,"Aurelia_spp",0,0,6
8,25.2361723484,-83.6129999998,2014,"Aurelia_spp",53.8302890100411,1034.65302298499,9
8,25.2361723484,-83.6129999998,2015,"Aurelia_spp",0,0,4
8,25.2361723484,-83.6129999998,2016,"Aurelia_spp",0,0,3
8,25.2361723484,-83.6129999998,2017,"Aurelia_spp",0,0,11
9,25.2361723485,-83.1130000002,2012,"Aurelia_spp",0,0,3
9,25.2361723485,-83.1130000002,2013,"Aurelia_spp",102.776035392625,2271.55258282789,6
9,25.2361723485,-83.1130000002,2014,"Aurelia_spp",17.7959279114598,316.695050229874,3
9,25.2361723485,-83.1130000002,2015,"Aurelia_spp",38.0378871764769,525.740357498931,10
9,25.2361723485,-83.1130000002,2016,"Aurelia_spp",0,0,3
9,25.2361723485,-83.1130000002,2017,"Aurelia_spp",16.9172539708315,286.193481913614,8
10,25.2361723488,-82.613,2012,"Aurelia_spp",0,0,6
