"taxa","agg_grp","stationid","year","season","month","day","depth_m","decslat_ctr","decslon_ctr","subregion_depth","subregion_alongshore","use_pop_den_no_m2","use_biomass_den_kg_m2","biomass_den_kg_m3","pop_den_no_m3"
"CHRYSAORA","large jellyfish",4,2003,"fall",10,11,20.3,26.0965,-97.083,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",5,2003,"fall",10,11,16,26.1245,-97.1375,"1_inshore","1_Tex",0.025041174359465,0.00207591335439965,0.0332146136703944,0.40065878975144
"CHRYSAORA","large jellyfish",6,2003,"fall",10,11,15.4,26.2235,-97.1515,"1_inshore","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",7,2003,"fall",10,11,36.6,26.12,-96.9,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",8,2003,"fall",10,11,27.2,26.2995,-97.0255,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",9,2003,"fall",10,11,35.3,26.3545,-96.9625,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",10,2003,"fall",10,12,15.2,26.418,-97.2015,"1_inshore","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",11,2003,"fall",10,12,18.3,26.492,-97.187,"1_inshore","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",12,2003,"fall",10,12,26,26.487,-97.085,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",13,2003,"fall",10,12,28,26.401,-97.042,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",14,2003,"fall",10,12,32.7,26.403,-97.0025,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",15,2003,"fall",10,12,18.3,26.552,-97.198,"1_inshore","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",16,2003,"fall",10,12,33.1,26.7505,-97.106,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",17,2003,"fall",10,12,24.5,26.7475,-97.2085,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",18,2003,"fall",10,12,17,26.9,-97.331,"1_inshore","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",19,2003,"fall",10,13,15,26.7695,-97.3185,"1_inshore","1_Tex",3.66528596550391,0.303852206540274,4.55778309810411,54.9792894825586
"CHRYSAORA","large jellyfish",20,2003,"fall",10,13,36.6,26.874,-97.061,"2_shelf","1_Tex",0.212849982055452,0.017645263512397,0.64581664455373,7.79030934322954
"CHRYSAORA","large jellyfish",21,2003,"fall",10,13,51.9,26.649,-96.8455,"2_shelf","1_Tex",0.0542558777788408,0.0044978122678659,0.23343645670224,2.81588005672184
"CHRYSAORA","large jellyfish",23,2003,"fall",10,13,63.6,26.597,-96.7255,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",24,2003,"fall",10,13,51.6,26.7705,-96.9035,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",26,2003,"fall",10,13,100.8,26.836,-96.623,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",28,2003,"fall",10,13,92,26.9915,-96.6655,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",29,2003,"fall",10,14,84,26.8625,-96.7275,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",30,2003,"fall",10,14,101.7,26.749,-96.601,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",32,2003,"fall",10,14,92.5,27.13,-96.6205,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",34,2003,"fall",10,14,72.8,27.136,-96.748,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",35,2003,"fall",10,14,66,27.1405,-96.8035,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",36,2003,"fall",10,14,71.7,27.053,-96.777,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",37,2003,"fall",10,14,41,27.0555,-97.0215,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",38,2003,"fall",10,14,14,27.2345,-97.3285,"1_inshore","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",39,2003,"fall",10,15,15,27.138,-97.339,"1_inshore","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",40,2003,"fall",10,15,19.9,27.2825,-97.2545,"1_inshore","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",41,2003,"fall",10,15,15.5,27.3545,-97.265,"1_inshore","1_Tex",0.0217023511115363,0.00179912490714636,0.0278864360607686,0.336386442228813
"CHRYSAORA","large jellyfish",42,2003,"fall",10,15,23,27.349,-97.2095,"2_shelf","1_Tex",0.0112253540232084,0.00093058184852398,0.0214033825160515,0.258183142533793
"CHRYSAORA","large jellyfish",43,2003,"fall",10,15,26,27.3515,-97.151,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",44,2003,"fall",10,15,36,27.184,-97.0535,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",45,2003,"fall",10,15,21.2,27.456,-97.154,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",46,2003,"fall",10,15,30.9,27.5425,-96.931,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",47,2003,"fall",10,15,45.2,27.397,-96.8605,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",48,2003,"fall",10,15,40.8,27.3095,-96.9495,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",49,2003,"fall",10,16,29.1,27.601,-96.919,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",51,2003,"fall",10,16,46,27.748,-96.548,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",52,2003,"fall",10,16,31.5,27.81,-96.6725,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",53,2003,"fall",10,16,25.4,27.8295,-96.766,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",54,2003,"fall",10,16,86,27.605,-96.3705,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",56,2003,"fall",10,16,91.3,27.7215,-95.928,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",57,2003,"fall",10,17,36.4,28.0165,-96.2525,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",58,2003,"fall",10,17,33,28.077,-96.234,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",59,2003,"fall",10,17,12,28.155,-96.677,"1_inshore","1_Tex",0.0112253540232084,0.00093058184852398,0.0111669821822878,0.134704248278501
"CHRYSAORA","large jellyfish",60,2003,"fall",10,17,29.3,27.9685,-96.504,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",61,2003,"fall",10,17,31.3,28.125,-96.124,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",62,2003,"fall",10,17,29.6,28.146,-96.12,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",63,2003,"fall",10,17,32.7,28.211,-95.8125,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",64,2003,"fall",10,17,27.6,28.289,-95.7905,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",65,2003,"fall",10,18,29.4,28.229,-95.903,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",66,2003,"fall",10,18,45.2,28.19,-95.44,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",67,2003,"fall",10,18,25,28.48,-95.6595,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",68,2003,"fall",10,18,25.2,28.2955,-95.9165,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",69,2003,"fall",10,18,14,28.621,-95.801,"1_inshore","1_Tex",0.0325535266673045,0.00269868736071954,0.0377816230500736,0.455749373342263
"CHRYSAORA","large jellyfish",70,2003,"fall",10,18,19.6,28.5255,-95.704,"1_inshore","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",71,2003,"fall",10,18,17,28.6095,-95.62,"1_inshore","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",72,2003,"fall",10,18,12,28.734,-95.585,"1_inshore","1_Tex",0.0449014160928338,0.00372232739409592,0.044667928729151,0.538816993114006
"CHRYSAORA","large jellyfish",73,2003,"fall",10,19,27.6,28.6605,-95.102,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",74,2003,"fall",10,19,17,28.918,-95.201,"1_inshore","1_Tex",0.0217023511115363,0.00179912490714636,0.0305851234214881,0.368939968896117
"CHRYSAORA","large jellyfish",75,2003,"fall",10,19,13,28.7985,-95.402,"1_inshore","1_Tex",0.0116262595240373,0.000963816914542694,0.012529619889055,0.151141373812485
"CHRYSAORA","large jellyfish",76,2003,"fall",10,19,15,28.7235,-95.51,"1_inshore","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",78,2003,"fall",10,19,36.4,28.296,-95.4205,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",79,2003,"fall",10,19,58.9,27.988,-95.4785,"2_shelf","1_Tex",0,0,0,0
"CHRYSAORA","large jellyfish",81,2003,"fall",10,19,73.3,27.94,-95.38,"2_shelf","1_Tex",0,0,0,0
