OBJECTID,Join_Count,join_dist,TARGET_FID,agg_grp,year,month,day,stationid,use_pop_de,use_biomas,depth_m,biomass_de,pop_den_no,decslat_ct,decslon_ct,FID_jelly_,FID_jelly1,agg_grp_1,year_1,month_1,day_1,stationid_,use_pop__1,use_biom_1,depth_m_1,biomass__1,pop_den__1,decslat__1,decslon__1,agg_grp_12,year_12,month_12,day_12,stationi_1,use_pop__2,use_biom_2,depth_m_12,biomass__2,pop_den__2,decslat__2,decslon__2
1,1,1476.996642413627800,1,large jellyfish,1983,4,8,1002,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,28.733000000000001,-90.599999999999994,,,,,,,,,,,,,,,large jellyfish,2013,10,29,174701,14.088442929905700,4.818247482027740,17.800000000000001,85.764805180093802,250.774284152321000,28.727000000000000,-90.613500000000002
2,1,2639.932375842312000,2,large jellyfish,1983,4,8,1008,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,28.649999999999999,-90.667000000000002,,,,,,,,,,,,,,,large jellyfish,1986,6,19,69380,0.000000000000000,0.000000000000000,20.100000000000001,0.000000000000000,0.000000000000000,28.640999999999998,-90.641999999999996
3,1,813.275285909242140,3,large jellyfish,1983,4,8,1022,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,28.600000000000001,-90.867000000000004,,,,,,,,,,,,,,,large jellyfish,1987,11,1,36681,0.021702351111536,0.015755906906975,20.100000000000001,0.316693728830206,0.436217257341880,28.602000000000000,-90.858999999999995
4,1,1741.096038033497700,4,large jellyfish,1983,4,8,1028,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,28.716999999999999,-90.917000000000002,,,,,,,,,,,,,,,large jellyfish,2015,11,12,203111,0.000000000000000,0.000000000000000,19.600000000000001,0.000000000000000,0.000000000000000,28.704999999999998,-90.905500000000004
5,1,659.846009716980230,5,large jellyfish,1983,4,9,1034,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,28.683000000000000,-90.983000000000004,,,,,,,,,,,,,,,large jellyfish,2010,6,9,110840,0.000000000000000,0.000000000000000,15.500000000000000,0.000000000000000,0.000000000000000,28.678000000000001,-90.979335000000006
6,1,869.836997704716050,6,large jellyfish,1983,4,12,1148,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,28.949999999999999,-91.433000000000007,,,,,,,,,,,,,,,large jellyfish,1997,10,4,52080,0.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,0.000000000000000,28.943500000000000,-91.427999999999997
7,1,535.540840046600010,7,large jellyfish,1983,4,12,1152,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,28.899999999999999,-91.316999999999993,,,,,,,,,,,,,,,large jellyfish,1991,7,8,56046,0.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,0.000000000000000,28.904499999999999,-91.314999999999998
8,1,906.422741190542180,8,large jellyfish,1983,4,12,1156,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,28.766999999999999,-91.349999999999994,,,,,,,,,,,,,,,large jellyfish,1992,11,9,60627,0.000000000000000,0.000000000000000,20.000000000000000,0.000000000000000,0.000000000000000,28.768999999999998,-91.340999999999994
9,1,226.976971069353340,9,large jellyfish,1983,4,13,1168,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,28.783000000000001,-91.167000000000002,,,,,,,,,,,,,,,large jellyfish,1990,11,5,62932,0.000000000000000,0.000000000000000,12.000000000000000,0.000000000000000,0.000000000000000,28.785000000000000,-91.167500000000004
10,1,772.024623371481080,10,large jellyfish,1983,4,13,1174,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,28.683000000000000,-91.167000000000002,,,,,,,,,,,,,,,large jellyfish,2008,11,8,205864,0.000000000000000,0.000000000000000,18.800000000000001,0.000000000000000,0.000000000000000,28.687999999999999,-91.161500000000004
