OBJECTID,Join_Count,join_distance,TARGET_FID,FID_jelly_,agg_grp,year,month,day,stationid,use_pop_de,use_biomas,depth_m,biomass_de,pop_den_no,decslat_ct,decslon_ct,FID_jelly1,agg_grp_1,year_1,month_1,day_1,stationid_,use_pop__1,use_biom_1,depth_m_1,biomass__1,pop_den__1,decslat__1,decslon__1,FID_jell_1,agg_grp_12,year_12,month_12,day_12,stationi_1,use_pop__2,use_biom_2,depth_m_12,biomass__2,pop_den__2,decslat__2,decslon__2,FID_jell_2,agg_grp_13,year_12_13,month_1_13,day_12_13,stationid1,use_pop__3,use_biom_3,depth_m_13,biomass__3,pop_den__3,decslat__3,decslon__3
1,1,750.678894410197130,1,19654,large jellyfish,2002,5,19,58612,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,24.504000000000001,-82.953000000000003,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,19658,large jellyfish,2002,5,19,58617,0.000000000000000,0.000000000000000,26.899999999999999,0.000000000000000,0.000000000000000,24.509000000000000,-82.957999999999998,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
2,1,2481.949166792472600,2,15511,large jellyfish,1986,11,22,39697,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,26.016999999999999,-96.566999999999993,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,14150,large jellyfish,1991,10,15,37582,0.032553526667305,0.003255352666730,59.399999999999999,0.193367948403789,1.933679484037890,26.037500000000001,-96.557000000000002,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
3,1,3819.164294222726300,3,15510,large jellyfish,1986,11,22,39696,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,26.020000000000000,-96.590000000000003,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,22435,large jellyfish,1999,6,24,64706,0.000000000000000,0.000000000000000,55.000000000000000,0.000000000000000,0.000000000000000,26.053500000000000,-96.599000000000004,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
4,1,202.978910744114700,4,21085,large jellyfish,1986,11,17,6168,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,26.090000000000000,-97.007999999999996,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1979,large jellyfish,2009,11,18,129059,0.130214106669218,0.000625027712012,25.300000000000001,0.015813201113910,3.294416898731220,26.091500000000000,-97.009164999999996,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
5,1,1408.384727426731600,5,15509,large jellyfish,1986,11,22,39695,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,26.100000000000001,-96.701999999999998,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,5961,large jellyfish,2015,6,10,202725,0.000000000000000,0.000000000000000,48.700000000000003,0.000000000000000,0.000000000000000,26.088500000000000,-96.707999999999998,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
6,1,256.134861181839480,6,21044,large jellyfish,1986,11,17,6164,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,26.103999999999999,-97.040000000000006,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3174,large jellyfish,2013,11,10,179919,0.000000000000000,0.000000000000000,24.000000000000000,0.000000000000000,0.000000000000000,26.104500000000002,-97.042500000000004,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
7,1,309.788471141986120,7,21075,large jellyfish,1986,11,17,6167,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,26.138999999999999,-97.007999999999996,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1980,large jellyfish,2009,11,18,129060,0.000000000000000,0.000000000000000,25.600000000000001,0.000000000000000,0.000000000000000,26.140999999999998,-97.005835000000005,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
8,1,321.301283134323850,8,21065,large jellyfish,1986,11,17,6166,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,26.141999999999999,-97.028000000000006,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,296,large jellyfish,2009,2,23,105712,0.000000000000000,0.000000000000000,23.800000000000001,0.000000000000000,0.000000000000000,26.142499999999998,-97.024834999999996,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
9,1,314.972715026631700,9,21054,large jellyfish,1986,11,17,6165,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,26.158000000000001,-97.040999999999997,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1123,large jellyfish,1988,6,14,11104,0.000000000000000,0.000000000000000,23.800000000000001,0.000000000000000,0.000000000000000,26.160499999999999,-97.042500000000004,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
10,1,2415.212611382728000,10,15512,large jellyfish,1986,11,22,39698,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,26.248000000000001,-96.481999999999999,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,8016,large jellyfish,2009,6,14,205524,5.133440743690330,1.755636734342090,63.100000000000001,110.780677936986000,323.920110926859990,26.263500000000001,-96.498999999999995,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
11,1,3780.093637285088300,11,15513,large jellyfish,1986,11,23,39699,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,26.332999999999998,-96.316999999999993,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,26708,large jellyfish,2005,10,12,82670,0.000000000000000,0.000000000000000,110.099999999999990,0.000000000000000,0.000000000000000,26.356999999999999,-96.343914999999996,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
12,1,1303.800964085724200,12,15507,large jellyfish,1986,11,22,39693,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,26.352000000000000,-96.718000000000004,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,22427,large jellyfish,1999,6,23,64695,0.000000000000000,0.000000000000000,45.700000000000003,0.000000000000000,0.000000000000000,26.359000000000002,-96.707499999999996,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
13,1,1659.646009603415900,13,15506,large jellyfish,1986,11,22,39692,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,26.364999999999998,-96.564999999999998,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,26486,large jellyfish,2005,6,19,82301,1.779592791145980,0.608620734571925,62.899999999999999,38.282244204574098,111.936386563082000,26.379000000000001,-96.559084999999996,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
14,1,2163.354611385660500,14,15516,large jellyfish,1986,11,23,39700,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,26.468000000000000,-96.421999999999997,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,7464,large jellyfish,2009,10,13,204910,0.000000000000000,0.000000000000000,87.599999999999994,0.000000000000000,0.000000000000000,26.449000000000002,-96.417000000000002,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
15,1,614.091678409574110,15,15517,large jellyfish,1986,11,23,39701,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,26.547999999999998,-96.581999999999994,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,24253,large jellyfish,2003,6,18,68951,0.000000000000000,0.000000000000000,82.700000000000003,0.000000000000000,0.000000000000000,26.545500000000001,-96.576499999999996,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
16,1,800.143828966740330,16,15501,large jellyfish,1986,11,22,39687,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,26.577999999999999,-97.049999999999997,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,26508,large jellyfish,2005,6,22,82331,0.000000000000000,0.000000000000000,32.700000000000003,0.000000000000000,0.000000000000000,26.584499999999998,-97.053500000000000,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
17,1,2525.304854555452900,17,15503,large jellyfish,1986,11,22,39689,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,26.579999999999998,-96.968000000000004,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,16182,large jellyfish,2004,10,16,4100,0.000000000000000,0.000000000000000,36.600000000000001,0.000000000000000,0.000000000000000,26.590499999999999,-96.990499999999997,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
18,1,1186.369914411990300,18,15502,large jellyfish,1986,11,22,39688,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,26.582999999999998,-96.981999999999999,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,16182,large jellyfish,2004,10,16,4100,0.000000000000000,0.000000000000000,36.600000000000001,0.000000000000000,0.000000000000000,26.590499999999999,-96.990499999999997,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
19,1,2350.503321686794600,19,15518,large jellyfish,1986,11,23,39702,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,26.632999999999999,-96.417000000000002,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,4111,large jellyfish,1996,10,13,18812,0.000000000000000,0.000000000000000,185.400000000000010,0.000000000000000,0.000000000000000,26.631000000000000,-96.393500000000003,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
20,1,259.366553679743620,20,15505,large jellyfish,1986,11,22,39691,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,26.649999999999999,-96.784999999999997,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,6683,large jellyfish,2011,6,27,203903,0.000000000000000,0.000000000000000,57.799999999999997,0.000000000000000,0.000000000000000,26.648499999999999,-96.783000000000001,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
21,1,1214.937149022812300,21,12969,large jellyfish,1982,7,10,30952,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,26.667000000000002,-97.007000000000005,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,8070,large jellyfish,2008,10,12,205589,2.053376297476130,0.702254693736836,36.000000000000000,25.281168974526100,73.921546709140699,26.664999999999999,-97.019000000000005,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
22,1,921.516787122654360,22,15504,large jellyfish,1986,11,22,39690,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,26.681999999999999,-96.867000000000004,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,14166,large jellyfish,1991,10,16,37602,0.000000000000000,0.000000000000000,54.899999999999999,0.000000000000000,0.000000000000000,26.689000000000000,-96.861999999999995,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
23,1,1534.301836876702500,23,12966,large jellyfish,1982,7,10,30949,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,26.702000000000002,-97.183000000000007,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,26991,large jellyfish,2006,6,22,83960,0.988662661747766,0.338122630317736,21.600000000000001,7.303448814863100,21.355113493751698,26.710000000000001,-97.195584999999994,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
24,1,524.251501437050820,24,12954,large jellyfish,1983,7,9,30937,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,26.786999999999999,-97.069000000000003,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,14059,large jellyfish,1988,6,30,37354,0.000000000000000,0.000000000000000,34.700000000000003,0.000000000000000,0.000000000000000,26.785499999999999,-97.073999999999998,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
25,1,2641.761907217377500,25,15500,large jellyfish,1986,11,22,39686,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,26.797999999999998,-97.033000000000001,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,6510,large jellyfish,2011,10,11,203683,0.000000000000000,0.000000000000000,36.200000000000003,0.000000000000000,0.000000000000000,26.774999999999999,-97.040000000000006,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
26,1,1369.366539126583300,26,12967,large jellyfish,1982,7,10,30950,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,26.823000000000000,-97.200000000000003,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,8036,large jellyfish,2009,6,15,205547,0.000000000000000,0.000000000000000,27.600000000000001,0.000000000000000,0.000000000000000,26.831000000000000,-97.210499999999996,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
27,1,1295.082617171780400,27,12968,large jellyfish,1982,7,10,30951,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,26.850000000000001,-97.221999999999994,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,8359,large jellyfish,2008,6,19,205966,0.000000000000000,0.000000000000000,25.800000000000001,0.000000000000000,0.000000000000000,26.841999999999999,-97.231499999999997,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
28,1,2600.341076287320900,28,15491,large jellyfish,1986,11,21,39677,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,26.850000000000001,-96.799999999999997,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,7309,large jellyfish,2010,7,7,204732,0.000000000000000,0.000000000000000,64.000000000000000,0.000000000000000,0.000000000000000,26.864000000000001,-96.820999999999998,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
29,1,1219.827053776140500,29,21265,large jellyfish,1992,6,21,62522,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,26.855000000000000,-96.701999999999998,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,10735,large jellyfish,2016,6,11,211706,0.000000000000000,0.000000000000000,83.900000000000006,0.000000000000000,0.000000000000000,26.866000000000000,-96.701499999999996,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
30,1,2331.329550116547600,30,13441,large jellyfish,1993,10,18,35177,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,26.858000000000001,-96.753000000000000,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,16502,large jellyfish,1996,6,29,4948,0.000000000000000,0.000000000000000,70.000000000000000,0.000000000000000,0.000000000000000,26.872499999999999,-96.769999999999996,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
31,1,518.161668594777100,31,15492,large jellyfish,1986,11,21,39678,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,26.867000000000001,-96.816999999999993,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,7309,large jellyfish,2010,7,7,204732,0.000000000000000,0.000000000000000,64.000000000000000,0.000000000000000,0.000000000000000,26.864000000000001,-96.820999999999998,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
32,1,1301.066941752388200,32,12970,large jellyfish,1982,7,11,30953,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,26.885000000000002,-96.882999999999996,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,7470,large jellyfish,2009,10,14,204917,0.000000000000000,0.000000000000000,57.600000000000001,0.000000000000000,0.000000000000000,26.888500000000001,-96.870500000000007,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
33,1,173.466788889201520,33,15497,large jellyfish,1986,11,21,39683,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,26.896999999999998,-97.250000000000000,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,20220,large jellyfish,1990,6,20,60042,0.000000000000000,0.000000000000000,24.100000000000001,0.000000000000000,0.000000000000000,26.898499999999999,-97.250500000000002,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
34,1,1643.821531419489500,34,12971,large jellyfish,1982,7,11,30954,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,26.907000000000000,-97.052999999999997,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,19234,large jellyfish,1997,6,23,58123,0.000000000000000,0.000000000000000,36.600000000000001,0.000000000000000,0.000000000000000,26.892499999999998,-97.049499999999995,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
35,0,-1.000000000000000,35,15490,large jellyfish,1986,11,21,39676,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,26.914999999999999,-96.447999999999993,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1,3246.444641922400900,36,12953,large jellyfish,1983,7,9,30936,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,26.943999999999999,-96.903000000000006,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,4694,large jellyfish,1985,7,2,19589,0.000000000000000,0.000000000000000,54.899999999999999,0.000000000000000,0.000000000000000,26.949999999999999,-96.935000000000002,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
37,1,1511.263877086909100,37,15496,large jellyfish,1986,11,21,39682,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,26.966999999999999,-97.167000000000002,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,6513,large jellyfish,2011,10,12,203687,0.000000000000000,0.000000000000000,29.600000000000001,0.000000000000000,0.000000000000000,26.978000000000002,-97.158000000000001,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
38,1,898.696624624115090,38,12973,large jellyfish,1982,7,11,30956,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,26.989999999999998,-97.268000000000001,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,26997,large jellyfish,2006,6,22,83967,0.000000000000000,0.000000000000000,21.600000000000001,0.000000000000000,0.000000000000000,26.983499999999999,-97.273415000000000,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
39,1,1579.565609478284800,39,12974,large jellyfish,1982,7,11,30957,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,27.004999999999999,-97.221999999999994,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,20497,large jellyfish,1992,10,20,60454,0.075958228890377,0.002170235111154,27.399999999999999,0.059464442045610,2.081255471596340,27.018999999999998,-97.218999999999994,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
40,1,785.891895341519670,40,12958,large jellyfish,1983,7,10,30941,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,27.010000000000002,-97.281999999999996,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,24739,large jellyfish,1999,10,19,69960,0.209272671432672,0.052085642667687,21.899999999999999,1.140675574422350,4.583071504375520,27.015499999999999,-97.277000000000001,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
41,1,1022.809250359540700,41,15495,large jellyfish,1986,11,21,39681,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,27.030000000000001,-97.120000000000005,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,16219,large jellyfish,2004,10,19,4120,2.860059842913180,0.978140466276308,33.000000000000000,32.278635387118200,94.381974816134900,27.034500000000001,-97.111000000000004,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
42,1,2340.455412145513900,42,15493,large jellyfish,1986,11,21,39679,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,27.032000000000000,-96.947999999999993,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2587,large jellyfish,2004,6,20,15051,0.000000000000000,0.000000000000000,51.399999999999999,0.000000000000000,0.000000000000000,27.048999999999999,-96.933999999999997,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
43,0,-1.000000000000000,43,12959,large jellyfish,1983,7,10,30942,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,27.064000000000000,-97.358000000000004,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1,1840.490385453250400,44,12972,large jellyfish,1982,7,11,30955,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,27.074999999999999,-96.950000000000003,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,27384,large jellyfish,2000,10,17,85054,0.000000000000000,0.000000000000000,51.200000000000003,0.000000000000000,0.000000000000000,27.071999999999999,-96.931749999999994,-1,,0,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
