OBJECTID,Join_Count,TARGET_FID,JOIN_FID,AggGrp_20130430,Year,Season,Month,Day,STATIONID,depth_m,biomass_den_kg_m3,pop_den_no_m3,DECLAT_ctr,DECLON_ctr
1,1,1,140,large_jellyfish,1985,Summer,6,10,56460,10.058400000000001,0.000000000000000,0.000000000000000,30.219999999999999,-87.837999999999994
2,1,2,19,large_jellyfish,1985,Fall,11,22,50586,43.525440000000003,0.000000000000000,0.000000000000000,26.036000000000001,-97.010000000000005
3,1,3,19,large_jellyfish,1985,Fall,11,22,50587,50.109119999999997,0.000000000000000,0.000000000000000,26.029000000000000,-96.998999999999995
4,1,4,19,large_jellyfish,1985,Fall,11,22,50588,50.109119999999997,0.000000000000000,0.000000000000000,26.010999999999999,-96.994000000000000
5,1,5,95,large_jellyfish,1985,Fall,11,16,50589,23.408639999999998,0.000000000000000,0.000000000000000,29.390999999999998,-94.519000000000005
6,1,6,95,large_jellyfish,1985,Fall,11,16,50590,23.408639999999998,0.000000000000000,0.000000000000000,29.318999999999999,-94.552000000000007
7,1,7,95,large_jellyfish,1985,Fall,11,16,50593,36.758879999999998,0.000000000000000,0.000000000000000,29.056000000000001,-94.653000000000006
8,1,8,95,large_jellyfish,1985,Fall,11,17,50595,26.700479999999999,0.000000000000000,0.000000000000000,29.152000000000001,-94.844999999999999
9,1,9,95,large_jellyfish,1985,Fall,11,17,50596,26.700479999999999,0.000000000000000,0.000000000000000,29.169000000000000,-94.759000000000000
10,1,10,95,large_jellyfish,1985,Fall,11,17,50597,26.700479999999999,0.000000000000000,0.000000000000000,29.134000000000000,-94.781999999999996
11,1,11,139,large_jellyfish,1985,Summer,6,10,56455,16.642080000000000,0.000000000000000,0.000000000000000,30.158000000000001,-87.885000000000005
12,1,12,140,large_jellyfish,1985,Summer,6,10,56457,53.583840000000002,0.000000000000000,0.000000000000000,30.085000000000001,-87.504999999999995
13,1,13,139,large_jellyfish,1985,Summer,7,15,56474,26.700479999999999,0.000000000000000,0.000000000000000,30.172000000000001,-88.290000000000006
14,1,14,140,large_jellyfish,1985,Summer,6,10,56459,20.116800000000001,0.000000000000000,0.000000000000000,30.172000000000001,-87.638000000000005
15,1,15,19,large_jellyfish,1985,Fall,11,22,50583,46.817279999999997,0.000000000000000,0.000000000000000,26.213999999999999,-97.030000000000001
16,1,16,139,large_jellyfish,1985,Summer,6,12,56462,53.583840000000002,0.000000000000000,0.000000000000000,29.986999999999998,-87.992000000000004
17,1,17,139,large_jellyfish,1985,Summer,6,12,56463,23.408639999999998,0.000000000000000,0.000000000000000,30.123000000000001,-88.105000000000004
18,1,18,139,large_jellyfish,1985,Summer,6,12,56464,23.408639999999998,0.000000000000000,0.000000000000000,30.167000000000002,-88.117000000000004
19,1,19,139,large_jellyfish,1985,Summer,6,12,56465,23.408639999999998,0.000000000000000,0.000000000000000,30.158000000000001,-88.204999999999998
20,1,20,139,large_jellyfish,1985,Summer,7,15,56466,30.175200000000000,0.000000000000000,0.000000000000000,30.053000000000001,-87.924999999999997
21,1,21,127,large_jellyfish,1985,Summer,7,15,56467,53.583840000000002,0.000000000000000,0.000000000000000,29.983000000000001,-87.503000000000000
22,1,22,140,large_jellyfish,1985,Summer,7,15,56468,13.350239999999999,0.000000000000000,0.000000000000000,30.222000000000001,-87.620000000000005
23,1,23,140,large_jellyfish,1985,Summer,7,15,56469,13.350239999999999,0.000000000000000,0.000000000000000,30.222999999999999,-87.822999999999993
24,1,24,140,large_jellyfish,1985,Summer,7,15,56470,23.408639999999998,0.000000000000000,0.000000000000000,30.152000000000001,-87.858000000000004
25,1,25,139,large_jellyfish,1985,Summer,7,15,56471,36.758879999999998,0.000000000000000,0.000000000000000,30.020000000000000,-88.332999999999998
26,1,26,139,large_jellyfish,1985,Summer,7,15,56472,33.467039999999997,0.000000000000000,0.000000000000000,30.071000000000002,-88.322000000000003
27,1,27,139,large_jellyfish,1985,Summer,7,15,56473,16.642080000000000,0.000000000000000,0.000000000000000,30.206000000000000,-88.239999999999995
28,1,28,140,large_jellyfish,1985,Summer,6,10,56458,23.408639999999998,0.000000000000000,0.000000000000000,30.268000000000001,-87.557000000000002
29,1,29,42,large jellyfish,1985,Fall,11,21,50569,30.175200000000000,0.021101456413960,1.455272856135180,27.956000000000000,-96.844999999999999
30,1,30,42,large_jellyfish,1985,Summer,6,26,38274,70.225920000000002,0.000000000000000,0.000000000000000,27.648000000000000,-96.730000000000004
31,1,31,34,large jellyfish,1985,Summer,6,27,38275,53.583840000000002,0.019381588493073,0.646052949769103,27.457000000000001,-97.000000000000000
32,1,32,52,large_jellyfish,1985,Summer,6,27,38276,33.467039999999997,0.000000000000000,0.000000000000000,27.991000000000000,-96.747000000000000
33,1,33,52,large jellyfish,1985,Summer,6,27,38277,43.525440000000003,0.045341010295877,3.967338400889250,27.998999999999999,-96.620999999999995
34,1,34,42,large_jellyfish,1985,Summer,6,28,38278,50.109119999999997,0.000000000000000,0.000000000000000,27.925000000000001,-96.632000000000005
35,1,35,42,large_jellyfish,1985,Summer,6,28,38279,76.992480000000000,0.000000000000000,0.000000000000000,27.734999999999999,-96.600999999999999
36,1,36,42,large_jellyfish,1985,Summer,6,28,38280,60.167520000000003,0.000000000000000,0.000000000000000,27.715000000000000,-96.759000000000000
37,1,37,41,large jellyfish,1985,Summer,6,28,38281,26.700479999999999,0.041721349810072,1.043033745251800,27.638000000000002,-97.122000000000000
38,1,38,41,large jellyfish,1985,Summer,6,28,38282,30.175200000000000,0.072036006378691,4.911545889456250,27.742000000000001,-97.042000000000002
39,1,39,41,large jellyfish,1985,Summer,6,29,38283,20.116800000000001,0.014236364896975,0.569454595878984,27.808000000000000,-97.022000000000006
40,1,40,41,large_jellyfish,1985,Fall,11,21,50562,40.050719999999998,0.000000000000000,0.000000000000000,27.734999999999999,-96.935000000000002
41,1,41,41,large_jellyfish,1985,Fall,11,21,50563,40.050719999999998,0.000000000000000,0.000000000000000,27.652000000000001,-97.013000000000005
42,1,42,19,large_jellyfish,1985,Fall,11,22,50585,46.817279999999997,0.000000000000000,0.000000000000000,26.084000000000000,-97.013000000000005
43,1,43,42,large_jellyfish,1985,Fall,11,21,50567,40.050719999999998,0.000000000000000,0.000000000000000,27.841000000000001,-96.861999999999995
44,1,44,19,large_jellyfish,1985,Fall,11,22,50584,66.934079999999994,0.000000000000000,0.000000000000000,26.221000000000000,-96.903999999999996
45,1,45,53,large_jellyfish,1985,Fall,11,18,50570,26.700479999999999,0.000000000000000,0.000000000000000,28.457999999999998,-96.108000000000004
46,1,46,53,large_jellyfish,1985,Fall,11,18,50571,26.700479999999999,0.000000000000000,0.000000000000000,28.442000000000000,-96.158000000000001
47,1,47,53,large_jellyfish,1985,Fall,11,18,50572,33.467039999999997,0.000000000000000,0.000000000000000,28.408000000000001,-96.058000000000007
48,1,48,53,large_jellyfish,1985,Fall,11,18,50573,36.758879999999998,0.000000000000000,0.000000000000000,28.391999999999999,-96.058000000000007
49,1,49,53,large_jellyfish,1985,Fall,11,18,50575,50.109119999999997,0.000000000000000,0.000000000000000,28.138000000000002,-96.227999999999994
50,1,50,53,large_jellyfish,1985,Fall,11,19,50576,30.175200000000000,0.000000000000000,0.000000000000000,28.324999999999999,-96.325000000000003
51,1,51,52,large_jellyfish,1985,Fall,11,19,50578,26.700479999999999,0.000000000000000,0.000000000000000,28.274000000000001,-96.399000000000001
52,1,52,53,large_jellyfish,1985,Fall,11,19,50579,46.817279999999997,0.000000000000000,0.000000000000000,28.234000000000002,-96.305999999999997
53,1,53,19,large_jellyfish,1985,Fall,11,22,50580,36.758879999999998,0.000000000000000,0.000000000000000,26.352000000000000,-97.061000000000007
54,1,54,19,large_jellyfish,1985,Fall,11,22,50581,43.525440000000003,0.000000000000000,0.000000000000000,26.335999999999999,-97.046999999999997
55,1,55,19,large_jellyfish,1985,Fall,11,22,50582,40.050719999999998,0.000000000000000,0.000000000000000,26.270000000000000,-97.027000000000001
56,1,56,42,large_jellyfish,1985,Fall,11,21,50568,36.758879999999998,0.000000000000000,0.000000000000000,27.856999999999999,-96.858000000000004
57,1,57,41,large_jellyfish,1985,Fall,11,21,50564,43.525440000000003,0.000000000000000,0.000000000000000,27.622000000000000,-97.019999999999996
58,1,58,41,large_jellyfish,1985,Fall,11,21,50566,33.467039999999997,0.000000000000000,0.000000000000000,27.859000000000002,-96.909999999999997
59,1,59,83,large_jellyfish,1985,Summer,6,20,60760,40.050719999999998,0.000000000000000,0.000000000000000,28.619000000000000,-90.637000000000000
60,1,60,83,large_jellyfish,1985,Summer,6,20,60748,46.817279999999997,0.000000000000000,0.000000000000000,28.553000000000001,-90.799999999999997
61,1,61,84,large_jellyfish,1985,Fall,10,4,65929,36.758879999999998,0.000000000000000,0.000000000000000,28.965000000000000,-90.238000000000000
62,1,62,83,large_jellyfish,1985,Fall,10,4,65928,26.700479999999999,0.000000000000000,0.000000000000000,28.867999999999999,-90.744000000000000
63,1,63,83,large_jellyfish,1985,Fall,10,3,65927,40.050719999999998,0.000000000000000,0.000000000000000,28.619000000000000,-90.637000000000000
64,1,64,83,large_jellyfish,1985,Fall,10,3,65926,50.109119999999997,0.000000000000000,0.000000000000000,28.553000000000001,-90.799999999999997
65,1,65,82,large_jellyfish,1985,Fall,9,18,65925,23.408639999999998,0.000000000000000,0.000000000000000,28.777000000000001,-91.046000000000006
66,1,66,83,large_jellyfish,1985,Fall,9,18,65922,50.109119999999997,0.000000000000000,0.000000000000000,28.553000000000001,-90.799999999999997
67,1,67,84,large_jellyfish,1985,Summer,6,20,60762,30.175200000000000,0.000000000000000,0.000000000000000,28.965000000000000,-90.238000000000000
68,1,68,83,large_jellyfish,1985,Fall,9,18,65921,40.050719999999998,0.000000000000000,0.000000000000000,28.619000000000000,-90.637000000000000
69,1,69,83,large_jellyfish,1985,Summer,6,20,60759,53.583840000000002,0.000000000000000,0.000000000000000,28.609999999999999,-90.430000000000007
70,1,70,83,large_jellyfish,1985,Summer,6,19,60757,46.817279999999997,0.000000000000000,0.000000000000000,28.553000000000001,-90.790999999999997
71,1,71,82,large_jellyfish,1985,Summer,6,19,60755,20.116800000000001,0.000000000000000,0.000000000000000,28.777000000000001,-91.046000000000006
72,1,72,83,large_jellyfish,1985,Summer,6,19,60753,30.175200000000000,0.000000000000000,0.000000000000000,28.867999999999999,-90.747000000000000
73,1,73,83,large_jellyfish,1985,Summer,6,21,60751,53.583840000000002,0.000000000000000,0.000000000000000,28.622000000000000,-90.435000000000002
74,1,74,83,large_jellyfish,1985,Summer,6,20,60750,30.175200000000000,0.000000000000000,0.000000000000000,28.867999999999999,-90.744000000000000
75,1,75,83,large_jellyfish,1985,Summer,6,20,60749,40.050719999999998,0.000000000000000,0.000000000000000,28.626000000000001,-90.637000000000000
76,1,76,103,large_jellyfish,1985,Summer,6,21,60764,20.116800000000001,0.000000000000000,0.000000000000000,29.007999999999999,-90.465000000000003
77,1,77,105,large_jellyfish,1985,Fall,9,17,65913,40.050719999999998,0.000000000000000,0.000000000000000,29.114000000000001,-89.724999999999994
78,1,78,84,large_jellyfish,1985,Fall,9,16,65906,36.758879999999998,0.000000000000000,0.000000000000000,28.965000000000000,-90.238000000000000
79,1,79,103,large_jellyfish,1985,Fall,9,16,65907,16.642080000000000,0.000000000000000,0.000000000000000,29.007999999999999,-90.465000000000003
80,1,80,82,large_jellyfish,1985,Fall,9,18,65924,23.408639999999998,0.000000000000000,0.000000000000000,28.777000000000001,-91.046000000000006
81,1,81,104,large_jellyfish,1985,Fall,9,16,65908,20.116800000000001,0.000000000000000,0.000000000000000,29.047999999999998,-90.275000000000006
82,1,82,104,large_jellyfish,1985,Fall,9,16,65909,20.116800000000001,0.000000000000000,0.000000000000000,29.047999999999998,-90.275000000000006
83,1,83,103,large_jellyfish,1985,Fall,9,17,65910,16.642080000000000,0.000000000000000,0.000000000000000,29.007999999999999,-90.465000000000003
84,1,84,83,large_jellyfish,1985,Fall,9,18,65923,26.700479999999999,0.000000000000000,0.000000000000000,28.867999999999999,-90.744000000000000
85,1,85,104,large_jellyfish,1985,Fall,9,17,65912,16.642080000000000,0.000000000000000,0.000000000000000,29.274999999999999,-89.885999999999996
86,1,86,83,large_jellyfish,1985,Summer,6,20,60761,40.050719999999998,0.000000000000000,0.000000000000000,28.619000000000000,-90.637000000000000
87,1,87,105,large_jellyfish,1985,Fall,9,17,65914,33.467039999999997,0.000000000000000,0.000000000000000,29.021000000000001,-89.561999999999998
88,1,88,105,large_jellyfish,1985,Fall,9,17,65915,50.109119999999997,0.000000000000000,0.000000000000000,29.007999999999999,-89.602999999999994
89,1,89,105,large_jellyfish,1985,Fall,9,17,65916,40.050719999999998,0.000000000000000,0.000000000000000,29.114000000000001,-89.724999999999994
90,1,90,105,large_jellyfish,1985,Fall,9,17,65917,33.467039999999997,0.000000000000000,0.000000000000000,29.021000000000001,-89.561999999999998
91,1,91,105,large_jellyfish,1985,Fall,9,17,65918,80.284319999999994,0.000000000000000,0.000000000000000,29.007999999999999,-89.602999999999994
92,1,92,83,large_jellyfish,1985,Fall,9,18,65919,53.583840000000002,0.000000000000000,0.000000000000000,28.622000000000000,-90.435000000000002
93,1,93,83,large_jellyfish,1985,Fall,9,18,65920,53.583840000000002,0.000000000000000,0.000000000000000,28.622000000000000,-90.435000000000002
94,1,94,104,large_jellyfish,1985,Fall,9,17,65911,16.642080000000000,0.000000000000000,0.000000000000000,29.274999999999999,-89.885999999999996
95,1,95,104,large_jellyfish,1985,Summer,6,20,60763,16.642080000000000,0.000000000000000,0.000000000000000,29.047999999999998,-90.275000000000006
