"stationid","agg_grp","year","month","day","depth_m","decslat_ctr","decslon_ctr","subregion_depth","subregion_alongshore","use_pop_den_no_m2","use_biomass_den_kg_m2","biomass_den_kg_m3","pop_den_no_m3"
4,"large jellyfish",2003,10,11,20.3,26.0965,-97.083,"2_shelf","1_Tex",0,0,0,0
5,"large jellyfish",2003,10,11,16,26.1245,-97.1375,"1_inshore","1_Tex",0.025041174359465,0.00856408163093703,0.137025306094992,0.40065878975144
6,"large jellyfish",2003,10,11,15.4,26.2235,-97.1515,"1_inshore","1_Tex",0,0,0,0
7,"large jellyfish",2003,10,11,36.6,26.12,-96.9,"2_shelf","1_Tex",0,0,0,0
8,"large jellyfish",2003,10,11,27.2,26.2995,-97.0255,"2_shelf","1_Tex",0,0,0,0
9,"large jellyfish",2003,10,11,35.3,26.3545,-96.9625,"2_shelf","1_Tex",0,0,0,0
10,"large jellyfish",2003,10,12,15.2,26.418,-97.2015,"1_inshore","1_Tex",0,0,0,0
11,"large jellyfish",2003,10,12,18.3,26.492,-97.187,"1_inshore","1_Tex",0,0,0,0
12,"large jellyfish",2003,10,12,26,26.487,-97.085,"2_shelf","1_Tex",0,0,0,0
13,"large jellyfish",2003,10,12,28,26.401,-97.042,"2_shelf","1_Tex",0,0,0,0
14,"large jellyfish",2003,10,12,32.7,26.403,-97.0025,"2_shelf","1_Tex",0,0,0,0
15,"large jellyfish",2003,10,12,18.3,26.552,-97.198,"1_inshore","1_Tex",0,0,0,0
16,"large jellyfish",2003,10,12,33.1,26.7505,-97.106,"2_shelf","1_Tex",0,0,0,0
17,"large jellyfish",2003,10,12,24.5,26.7475,-97.2085,"2_shelf","1_Tex",0,0,0,0
18,"large jellyfish",2003,10,12,17,26.9,-97.331,"1_inshore","1_Tex",0,0,0,0
19,"large jellyfish",2003,10,13,15,26.7695,-97.3185,"1_inshore","1_Tex",0.144682340743575,0.0494813605343028,0.742220408014542,2.17023511115362
20,"large jellyfish",2003,10,13,36.6,26.874,-97.061,"2_shelf","1_Tex",0,0,0,0
21,"large jellyfish",2003,10,13,51.9,26.649,-96.8455,"2_shelf","1_Tex",0,0,0,0
23,"large jellyfish",2003,10,13,63.6,26.597,-96.7255,"2_shelf","1_Tex",0,0,0,0
24,"large jellyfish",2003,10,13,51.6,26.7705,-96.9035,"2_shelf","1_Tex",0,0,0,0
26,"large jellyfish",2003,10,13,100.8,26.836,-96.623,"2_shelf","1_Tex",0,0,0,0
28,"large jellyfish",2003,10,13,92,26.9915,-96.6655,"2_shelf","1_Tex",0,0,0,0
29,"large jellyfish",2003,10,14,84,26.8625,-96.7275,"2_shelf","1_Tex",0,0,0,0
30,"large jellyfish",2003,10,14,101.7,26.749,-96.601,"2_shelf","1_Tex",0,0,0,0
32,"large jellyfish",2003,10,14,92.5,27.13,-96.6205,"2_shelf","1_Tex",0,0,0,0
34,"large jellyfish",2003,10,14,72.8,27.136,-96.748,"2_shelf","1_Tex",0,0,0,0
35,"large jellyfish",2003,10,14,66,27.1405,-96.8035,"2_shelf","1_Tex",0,0,0,0
36,"large jellyfish",2003,10,14,71.7,27.053,-96.777,"2_shelf","1_Tex",0,0,0,0
37,"large jellyfish",2003,10,14,41,27.0555,-97.0215,"2_shelf","1_Tex",0,0,0,0
38,"large jellyfish",2003,10,14,14,27.2345,-97.3285,"1_inshore","1_Tex",0,0,0,0
39,"large jellyfish",2003,10,15,15,27.138,-97.339,"1_inshore","1_Tex",0,0,0,0
40,"large jellyfish",2003,10,15,19.9,27.2825,-97.2545,"1_inshore","1_Tex",0.0116262595240373,0.00397618075722076,0.0791259970686931,0.231362564528342
41,"large jellyfish",2003,10,15,15.5,27.3545,-97.265,"1_inshore","1_Tex",0,0,0,0
42,"large jellyfish",2003,10,15,23,27.349,-97.2095,"2_shelf","1_Tex",0.0112253540232084,0.00383907107593729,0.0882986347465577,0.258183142533793
43,"large jellyfish",2003,10,15,26,27.3515,-97.151,"2_shelf","1_Tex",0.034878778572112,0.0119285422716623,0.31014209906322,0.906848242874912
