"agg_grp"	"year"	"month"	"day"	"stationid"	"subregion_depth"	"subregion_alongshore"	"use_pop_den_no_m2"	"use_biomass_den_kg_m2"	"depth_m"	"biomass_den_kg_m3"	"pop_den_no_m3"	"decslat_ctr"	"decslon_ctr"
"large jellyfish"	2003	10	11	4	"2_shelf"	"1_Tex"	0	0	20.3	0	0	26.0965	-97.083
"large jellyfish"	2003	10	11	5	"1_inshore"	"1_Tex"	0.025041174359465	0.00856408163093703	16	0.137025306094992	0.40065878975144	26.1245	-97.1375
"large jellyfish"	2003	10	11	6	"1_inshore"	"1_Tex"	0	0	15.4	0	0	26.2235	-97.1515
"large jellyfish"	2003	10	11	7	"2_shelf"	"1_Tex"	0	0	36.6	0	0	26.12	-96.9
"large jellyfish"	2003	10	11	8	"2_shelf"	"1_Tex"	0	0	27.2	0	0	26.2995	-97.0255
"large jellyfish"	2003	10	11	9	"2_shelf"	"1_Tex"	0	0	35.3	0	0	26.3545	-96.9625
"large jellyfish"	2003	10	12	10	"1_inshore"	"1_Tex"	0	0	15.2	0	0	26.418	-97.2015
"large jellyfish"	2003	10	12	11	"1_inshore"	"1_Tex"	0	0	18.3	0	0	26.492	-97.187
"large jellyfish"	2003	10	12	12	"2_shelf"	"1_Tex"	0	0	26	0	0	26.487	-97.085
"large jellyfish"	2003	10	12	13	"2_shelf"	"1_Tex"	0	0	28	0	0	26.401	-97.042
"large jellyfish"	2003	10	12	14	"2_shelf"	"1_Tex"	0	0	32.7	0	0	26.403	-97.0025
"large jellyfish"	2003	10	12	15	"1_inshore"	"1_Tex"	0	0	18.3	0	0	26.552	-97.198
"large jellyfish"	2003	10	12	16	"2_shelf"	"1_Tex"	0	0	33.1	0	0	26.7505	-97.106
"large jellyfish"	2003	10	12	17	"2_shelf"	"1_Tex"	0	0	24.5	0	0	26.7475	-97.2085
"large jellyfish"	2003	10	12	18	"1_inshore"	"1_Tex"	0	0	17	0	0	26.9	-97.331
"large jellyfish"	2003	10	13	19	"1_inshore"	"1_Tex"	0.144682340743575	0.0494813605343028	15	0.742220408014542	2.17023511115362	26.7695	-97.3185
"large jellyfish"	2003	10	13	20	"2_shelf"	"1_Tex"	0	0	36.6	0	0	26.874	-97.061
"large jellyfish"	2003	10	13	21	"2_shelf"	"1_Tex"	0	0	51.9	0	0	26.649	-96.8455
"large jellyfish"	2003	10	13	23	"2_shelf"	"1_Tex"	0	0	63.6	0	0	26.597	-96.7255
"large jellyfish"	2003	10	13	24	"2_shelf"	"1_Tex"	0	0	51.6	0	0	26.7705	-96.9035
"large jellyfish"	2003	10	13	26	"2_shelf"	"1_Tex"	0	0	100.8	0	0	26.836	-96.623
"large jellyfish"	2003	10	13	28	"2_shelf"	"1_Tex"	0	0	92	0	0	26.9915	-96.6655
"large jellyfish"	2003	10	14	29	"2_shelf"	"1_Tex"	0	0	84	0	0	26.8625	-96.7275
"large jellyfish"	2003	10	14	30	"2_shelf"	"1_Tex"	0	0	101.7	0	0	26.749	-96.601
"large jellyfish"	2003	10	14	32	"2_shelf"	"1_Tex"	0	0	92.5	0	0	27.13	-96.6205
"large jellyfish"	2003	10	14	34	"2_shelf"	"1_Tex"	0	0	72.8	0	0	27.136	-96.748
"large jellyfish"	2003	10	14	35	"2_shelf"	"1_Tex"	0	0	66	0	0	27.1405	-96.8035
"large jellyfish"	2003	10	14	36	"2_shelf"	"1_Tex"	0	0	71.7	0	0	27.053	-96.777
"large jellyfish"	2003	10	14	37	"2_shelf"	"1_Tex"	0	0	41	0	0	27.0555	-97.0215
"large jellyfish"	2003	10	14	38	"1_inshore"	"1_Tex"	0	0	14	0	0	27.2345	-97.3285
"large jellyfish"	2003	10	15	39	"1_inshore"	"1_Tex"	0	0	15	0	0	27.138	-97.339
"large jellyfish"	2003	10	15	40	"1_inshore"	"1_Tex"	0.0116262595240373	0.00397618075722076	19.9	0.0791259970686931	0.231362564528342	27.2825	-97.2545
"large jellyfish"	2003	10	15	41	"1_inshore"	"1_Tex"	0	0	15.5	0	0	27.3545	-97.265
"large jellyfish"	2003	10	15	42	"2_shelf"	"1_Tex"	0.0112253540232084	0.00383907107593729	23	0.0882986347465577	0.258183142533793	27.349	-97.2095
"large jellyfish"	2003	10	15	43	"2_shelf"	"1_Tex"	0.034878778572112	0.0119285422716623	26	0.31014209906322	0.906848242874912	27.3515	-97.151
"large jellyfish"	2003	10	15	44	"2_shelf"	"1_Tex"	0	0	36	0	0	27.184	-97.0535
"large jellyfish"	2003	10	15	45	"2_shelf"	"1_Tex"	0	0	21.2	0	0	27.456	-97.154
"large jellyfish"	2003	10	15	46	"2_shelf"	"1_Tex"	0	0	30.9	0	0	27.5425	-96.931
"large jellyfish"	2003	10	15	47	"2_shelf"	"1_Tex"	0	0	45.2	0	0	27.397	-96.8605
"large jellyfish"	2003	10	15	48	"2_shelf"	"1_Tex"	0	0	40.8	0	0	27.3095	-96.9495
"large jellyfish"	2003	10	16	49	"2_shelf"	"1_Tex"	0.0224507080464169	0.00767814215187458	29.1	0.22343393661955	0.653315604150732	27.601	-96.919
"large jellyfish"	2003	10	16	51	"2_shelf"	"1_Tex"	0	0	46	0	0	27.748	-96.548
"large jellyfish"	2003	10	16	52	"2_shelf"	"1_Tex"	0	0	31.5	0	0	27.81	-96.6725
"large jellyfish"	2003	10	16	53	"2_shelf"	"1_Tex"	0	0	25.4	0	0	27.8295	-96.766
"large jellyfish"	2003	10	16	54	"2_shelf"	"1_Tex"	0	0	86	0	0	27.605	-96.3705
"large jellyfish"	2003	10	16	56	"2_shelf"	"1_Tex"	0	0	91.3	0	0	27.7215	-95.928
"large jellyfish"	2003	10	17	57	"2_shelf"	"1_Tex"	0	0	36.4	0	0	28.0165	-96.2525
"large jellyfish"	2003	10	17	58	"2_shelf"	"1_Tex"	0	0	33	0	0	28.077	-96.234
"large jellyfish"	2003	10	17	59	"1_inshore"	"1_Tex"	0	0	12	0	0	28.155	-96.677
